Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (13772382),James Harden,13772382,PG/SG/G/UTIL,12200,HOU@MIN 11/16/2019 08:00PM ET,HOU,62.33
SF/PF,Giannis Antetokounmpo (13772386),Giannis Antetokounmpo,13772386,SF/PF/F/UTIL,12000,MIL@IND 11/16/2019 07:00PM ET,MIL,64.48
PG/SG,Luka Doncic (13772390),Luka Doncic,13772390,PG/SG/G/UTIL,10300,TOR@DAL 11/16/2019 08:30PM ET,DAL,59.93
C,Karl-Anthony Towns (13772394),Karl-Anthony Towns,13772394,C/UTIL,10100,HOU@MIN 11/16/2019 08:00PM ET,MIN,54.85
SF/PF,Kawhi Leonard (13772396),Kawhi Leonard,13772396,SF/PF/F/UTIL,9900,ATL@LAC 11/16/2019 10:30PM ET,LAC,52.67
PG,Trae Young (13772400),Trae Young,13772400,PG/G/UTIL,9400,ATL@LAC 11/16/2019 10:30PM ET,ATL,49.3
PF/C,Pascal Siakam (13772403),Pascal Siakam,13772403,PF/C/F/UTIL,9200,TOR@DAL 11/16/2019 08:30PM ET,TOR,47.20
PG,Damian Lillard (13772407),Damian Lillard,13772407,PG/G/UTIL,8700,POR@SA 11/16/2019 08:30PM ET,POR,51.19
PG/SG,Jrue Holiday (13772410),Jrue Holiday,13772410,PG/SG/G/UTIL,8600,NO@MIA 11/16/2019 08:00PM ET,NO,39.92
PF/C,Domantas Sabonis (13772414),Domantas Sabonis,13772414,PF/C/F/UTIL,8500,MIL@IND 11/16/2019 07:00PM ET,IND,44.58
SG/SF,Andrew Wiggins (13772418),Andrew Wiggins,13772418,SG/SF/F/G/UTIL,8400,HOU@MIN 11/16/2019 08:00PM ET,MIN,41.77
PG,Russell Westbrook (13772423),Russell Westbrook,13772423,PG/G/UTIL,8300,HOU@MIN 11/16/2019 08:00PM ET,HOU,45.16
SF/PF,Paul George (13772426),Paul George,13772426,SF/PF/F/UTIL,7900,ATL@LAC 11/16/2019 10:30PM ET,LAC,49.25
C,Clint Capela (13772430),Clint Capela,13772430,C/UTIL,7700,HOU@MIN 11/16/2019 08:00PM ET,HOU,37.07
SG/SF,Jimmy Butler (13772432),Jimmy Butler,13772432,SG/SF/F/G/UTIL,7600,NO@MIA 11/16/2019 08:00PM ET,MIA,41.81
C,Bam Adebayo (13772437),Bam Adebayo,13772437,C/UTIL,7500,NO@MIA 11/16/2019 08:00PM ET,MIA,38.57
PG/SG,Lou Williams (13772439),Lou Williams,13772439,PG/SG/G/UTIL,7400,ATL@LAC 11/16/2019 10:30PM ET,LAC,37.29
PG,Eric Bledsoe (13772443),Eric Bledsoe,13772443,PG/G/UTIL,7300,MIL@IND 11/16/2019 07:00PM ET,MIL,34.07
PG/SG,Devonte' Graham (13772451),Devonte' Graham,13772451,PG/SG/G/UTIL,7200,CHA@NY 11/16/2019 07:30PM ET,CHA,36.17
SG/SF,DeMar DeRozan (13772446),DeMar DeRozan,13772446,SG/SF/F/G/UTIL,7200,POR@SA 11/16/2019 08:30PM ET,SA,34.83
PG/SG,Fred VanVleet (13772455),Fred VanVleet,13772455,PG/SG/G/UTIL,7100,TOR@DAL 11/16/2019 08:30PM ET,TOR,37.73
SF/PF,Jabari Parker (13772463),Jabari Parker,13772463,SF/PF/F/UTIL,7000,ATL@LAC 11/16/2019 10:30PM ET,ATL,31.34
PF/C,Kristaps Porzingis (13772459),Kristaps Porzingis,13772459,PF/C/F/UTIL,7000,TOR@DAL 11/16/2019 08:30PM ET,DAL,37.15
PF/C,Montrezl Harrell (13772467),Montrezl Harrell,13772467,PF/C/F/UTIL,6900,ATL@LAC 11/16/2019 10:30PM ET,LAC,34.73
SF/PF,Brandon Ingram (13772471),Brandon Ingram,13772471,SF/PF/F/UTIL,6900,NO@MIA 11/16/2019 08:00PM ET,NO,44.28
PG/SG,Malcolm Brogdon (13772475),Malcolm Brogdon,13772475,PG/SG/G/UTIL,6900,MIL@IND 11/16/2019 07:00PM ET,IND,39.79
PG,Kyle Lowry (13772479),Kyle Lowry,13772479,PG/G/UTIL,6800,TOR@DAL 11/16/2019 08:30PM ET,TOR,39.94
